"","HH_ID","Time","Locationch1","Activitych1","Locationch2","Activitych2","Locationch3","Activitych3","Comment","Day"
"218","KECM00029","afternoon","school",NA,"school",NA,NA,NA,NA,"Thursday"
"219","KECP00040","afternoon","school",NA,"school",NA,NA,NA,NA,"Thursday"
"220","KECC00021","afternoon","school",NA,"school",NA,NA,NA,NA,"Thursday"
"221","KECO00028","afternoon","school",NA,"school",NA,NA,NA,NA,"Thursday"
"222","KECL00015","afternoon","school",NA,"school",NA,NA,NA,NA,"Thursday"
"223","ETBR00002","afternoon","school","Learning,Playing","school","Learning,Playing",NA,NA,NA,"Thursday"
"224","ETBK00001","afternoon","school","learning","school","learning","school","learning",NA,"Thursday"
"225","ETMF00003","afternoon","home","Eating and playing","home","Eating and playing","school","Attending class",NA,"Thursday"
"226","ETH001",NA,NA,NA,NA,NA,NA,NA,NA,"Thursday"
"227","ETMA00001","evening","home","Eating, playing with older sister, sleeping together","home","Eating, playing with younger sister, sleeping together",NA,NA,NA,"Thursday"
"228","ETMT00002","evening","home","Playing with sisters","home","Playing and working","home","Eating, and doing",NA,"Thursday"
"229","KEMB00014","evening","home","cutting napier grass with grandma","home","peeling potatoes.washing utensils.frying vegetables",NA,NA,NA,"Thursday"
"230","KEME00012","evening","home","collecting milk and watchin cartoons","home","collecting milk and watchin cartoons",NA,NA,NA,"Thursday"
"231","KEMH00011","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Thursday"
"232","KEMB00051","evening","home","looking after small kids","home","looking after small kids",NA,NA,NA,"Thursday"
"233","KECM00029","evening","home","playing and collecting milk","home","playing and collecting milk",NA,NA,NA,"Thursday"
"234","KECP00040","evening","home","collectin milk","home","collecting milk",NA,NA,NA,"Thursday"
"235","KECC00021","evening","home","fetching firewood","home","fetching firewood",NA,NA,NA,"Thursday"
"236","KECO00028","evening","home","cleaning dishes and bringing goats to the shed","home","cleaning dishes and bringing goats to the shed",NA,NA,NA,"Thursday"
"237","KECL00015","evening","home","collecting milk","home","herding","home","cleaning utensils and washing school uniform",NA,"Thursday"
"238","ETBR00002","evening","home","Eating snack, doing assignment","home","Eating snack, doing assignment",NA,NA,NA,"Thursday"
"239","ETBK00001","evening","home","playing","home","playing","home","playing","These are not regular activities","Thursday"
"240","ETMF00003","evening","home","Eating and playing, listening puzzels, tales and poems","home","Eating and playing, narrating puzzels, tales and poems to her younger sister.","home","Eating and playing, narrating puzzels, tales and poems to her younger sister.",NA,"Thursday"
"241","ETH001","Morning",NA,NA,NA,NA,NA,NA,NA,"Friday"
"242","ETMA00001","Morning","home","Washing face, eating breakfast and arraigning learning materials to go to school","home","Eating with her younger sister and washing the materials used for earing",NA,NA,NA,"Friday"
"243","ETMT00002","Morning","home","Eating and going to school","home","Eating and going to school","home","Eating and letting her younger sisters to arrive at school",NA,"Friday"
"244","KEMB00014","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Friday"
"245","KEME00012","Morning","home","taking breakfast","home","taking breakfast",NA,NA,"holiday differs","Friday"
"246","KEMH00011","Morning","home","taking breakfast and preparing for school","home","taking breakfast and preparing for school",NA,NA,NA,"Friday"
"247","KEMB00051","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Friday"
"248","KECM00029","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Friday"
"249","KECP00040","Morning","home","breakfast","home","breakfast",NA,NA,NA,"Friday"
"250","KECC00021","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Friday"
"251","KECO00028","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,NA,NA,"Friday"
"252","KECL00015","Morning","home","breakfast and prepare for school","home","breakfast and prepare for school","home","breakfast and prepare for school",NA,"Friday"
"253","ETBR00002","Morning","home","Washing ,eating breakfast, preparing to go to schoo","home","Washing ,eating breakfast, preparing to go to schoo",NA,NA,"Similar to Thursday’s activities","Friday"
"254","ETBK00001","Morning","home","Washing hands, eating breakfast, wearing school uniform","home","Washing hands, eating breakfast, wearing school uniform","home","Washing hands, eating breakfast, wearing school uniform",NA,"Friday"
"255","ETMF00003","Morning","home","Eating and going to school","home","Eating and going to school","home","Eating and escorting or accompanying her younger sisters",NA,"Friday"
"256","ETH001",NA,NA,NA,NA,NA,NA,NA,NA,"Friday"
"257","ETMA00001","midday","school","Waiting for her older sister to go home together","School and on the way to home","Go to KG classes to take her younger sister",NA,NA,NA,"Friday"
"258","ETMT00002","midday","school","Attending class","school","Attending class","school","Go to school",NA,"Friday"
"259","KEMB00014","midday","school",NA,"school",NA,NA,NA,NA,"Friday"
"260","KEME00012","midday","school",NA,"school",NA,NA,NA,NA,"Friday"
"261","KEMH00011","midday","school",NA,"school",NA,NA,NA,NA,"Friday"
"262","KEMB00051","midday","school",NA,"school",NA,NA,NA,NA,"Friday"
"263","KECM00029","midday","school",NA,"school",NA,NA,NA,NA,"Friday"
"264","KECP00040","midday","school",NA,"school",NA,NA,NA,NA,"Friday"
"265","KECC00021","midday","school",NA,"school",NA,NA,NA,NA,"Friday"
"266","KECO00028","midday","school",NA,"school",NA,NA,NA,NA,"Friday"
"267","KECL00015","midday","school",NA,"school",NA,NA,NA,NA,"Friday"
